epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6652,1.19056,4.62509,1.30711,0.23441,0.13955,0.13862,0.0975,0.91594,3.16933,1.15949,0.083544,0.000544,0.000544
2,21.4618,1.00114,2.99881,1.22149,0.37952,0.3924,0.37572,0.26474,0.81834,2.11313,1.09776,0.0660954,0.00109536,0.00109536
3,31.2637,0.69674,1.9939,1.04672,0.5243,0.588,0.62347,0.53491,0.53933,1.48364,0.93235,0.0486214,0.00162138,0.00162138
4,41.2199,0.52812,1.36886,0.96343,0.68665,0.754,0.7831,0.71637,0.40399,1.08486,0.86939,0.031122,0.00212205,0.00212205
5,51.1742,0.4539,0.96617,0.93093,0.83408,0.84105,0.89598,0.81852,0.3847,0.72347,0.82778,0.0135974,0.00259738,0.00259738
6,60.8496,0.42203,0.73242,0.88968,0.82929,0.92771,0.94592,0.86353,0.37181,0.52356,0.8387,0.002848,0.002848,0.002848
7,70.4254,0.42532,0.69949,0.91146,0.95439,0.8992,0.96867,0.90258,0.32299,0.43484,0.82067,0.0027776,0.0027776,0.0027776
8,79.9666,0.34188,0.56295,0.8558,0.91156,0.95828,0.9749,0.91696,0.28976,0.41627,0.80817,0.0027072,0.0027072,0.0027072
9,89.492,0.3486,0.49374,0.86138,0.9545,0.94219,0.97943,0.92874,0.30632,0.36399,0.81118,0.0026368,0.0026368,0.0026368
10,98.9465,0.31995,0.4538,0.84629,0.98422,0.95705,0.98599,0.93351,0.28675,0.31603,0.80645,0.0025664,0.0025664,0.0025664
11,108.394,0.31155,0.42364,0.82998,0.97424,0.97104,0.98754,0.93574,0.31194,0.2948,0.80893,0.002496,0.002496,0.002496
12,117.891,0.30185,0.39726,0.8397,0.9774,0.95638,0.97888,0.94682,0.26607,0.28044,0.80205,0.0024256,0.0024256,0.0024256
13,127.295,0.28219,0.3604,0.8341,0.98281,0.98289,0.98758,0.95724,0.24236,0.24077,0.80849,0.0023552,0.0023552,0.0023552
14,136.861,0.30751,0.37948,0.84011,0.99334,0.9892,0.98858,0.95368,0.26053,0.25047,0.80731,0.0022848,0.0022848,0.0022848
15,146.31,0.30992,0.35452,0.8444,0.98436,0.97168,0.97694,0.93312,0.27285,0.30109,0.81535,0.0022144,0.0022144,0.0022144
16,155.794,0.29296,0.36152,0.85698,0.99343,0.96559,0.9832,0.93589,0.26555,0.2869,0.8047,0.002144,0.002144,0.002144
17,165.211,0.27987,0.35054,0.83155,0.97784,0.97914,0.98713,0.93952,0.25881,0.26326,0.80604,0.0020736,0.0020736,0.0020736
18,174.649,0.2851,0.36791,0.83981,0.978,0.94864,0.9814,0.94574,0.2413,0.30136,0.81545,0.0020032,0.0020032,0.0020032
19,184.508,0.26302,0.32857,0.82981,0.97457,0.96046,0.98379,0.94193,0.2527,0.28687,0.81984,0.0019328,0.0019328,0.0019328
20,193.912,0.27309,0.34269,0.83437,0.981,0.96868,0.98511,0.94951,0.24127,0.26844,0.80937,0.0018624,0.0018624,0.0018624
21,203.321,0.26677,0.33109,0.82993,0.9705,0.97614,0.99038,0.94503,0.25523,0.2641,0.82998,0.001792,0.001792,0.001792
22,212.722,0.25752,0.31826,0.82891,0.99745,0.98351,0.99133,0.95468,0.235,0.2405,0.8053,0.0017216,0.0017216,0.0017216
23,222.147,0.26864,0.30061,0.83114,0.99408,0.98774,0.98858,0.9567,0.2215,0.22487,0.80087,0.0016512,0.0016512,0.0016512
24,231.525,0.25441,0.31861,0.80575,0.97634,0.98148,0.98681,0.96496,0.20138,0.22181,0.79608,0.0015808,0.0015808,0.0015808
25,240.967,0.23049,0.30726,0.80796,0.99821,0.96453,0.98687,0.96162,0.20171,0.21589,0.79419,0.0015104,0.0015104,0.0015104
26,250.44,0.25497,0.32223,0.83767,0.99541,0.97767,0.98782,0.96423,0.19733,0.21114,0.79162,0.00144,0.00144,0.00144
27,259.828,0.23434,0.29526,0.81234,0.99375,0.97222,0.98708,0.96613,0.18913,0.20374,0.78621,0.0013696,0.0013696,0.0013696
28,269.443,0.20773,0.28018,0.81246,0.99422,0.97989,0.99208,0.95992,0.2018,0.20869,0.80426,0.0012992,0.0012992,0.0012992
29,278.962,0.22605,0.28741,0.82011,0.98271,0.9794,0.98812,0.96039,0.20284,0.20774,0.79921,0.0012288,0.0012288,0.0012288
30,288.45,0.2356,0.29324,0.81995,0.99501,0.97222,0.9884,0.96574,0.19303,0.20119,0.792,0.0011584,0.0011584,0.0011584
31,325.143,0.18718,0.21539,0.77615,0.99584,0.96296,0.98771,0.96279,0.18945,0.20647,0.79451,0.001088,0.001088,0.001088
32,334.515,0.19231,0.20677,0.7788,0.99594,0.95856,0.98777,0.9638,0.20639,0.20959,0.7995,0.0010176,0.0010176,0.0010176
33,344.064,0.20127,0.21496,0.79346,0.99627,0.96358,0.98702,0.95765,0.19746,0.21228,0.79559,0.0009472,0.0009472,0.0009472
34,353.521,0.19187,0.1987,0.77511,0.99688,0.96477,0.98828,0.96715,0.19651,0.21192,0.78567,0.0008768,0.0008768,0.0008768
35,362.903,0.18971,0.20108,0.76607,0.98897,0.98962,0.99027,0.96878,0.18184,0.19086,0.78266,0.0008064,0.0008064,0.0008064
36,372.307,0.17728,0.19787,0.77444,0.99197,0.99074,0.99176,0.97007,0.18638,0.18648,0.78165,0.000736,0.000736,0.000736
37,381.672,0.17482,0.18262,0.77495,0.99452,0.98772,0.99091,0.97043,0.18526,0.19249,0.78014,0.0006656,0.0006656,0.0006656
38,391.136,0.17208,0.1951,0.76692,0.99246,0.98728,0.99046,0.97317,0.17212,0.17715,0.77637,0.0005952,0.0005952,0.0005952
