epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1679,1.33439,4.73816,1.33361,0.04995,0.08333,0.0496,0.03755,1.24672,4.52045,1.36302,1.25e-05,1.25e-05,1.25e-05
2,47.0372,1.17761,4.37858,1.38685,0.82064,0.08333,0.09025,0.07835,1.03162,4.33698,1.27121,3.67575e-05,3.67575e-05,3.67575e-05
3,65.1014,0.95766,3.23819,1.11366,0.89802,0.08333,0.16428,0.14512,0.78695,4.12779,1.13641,6.0025e-05,6.0025e-05,6.0025e-05
4,83.522,0.85851,2.60257,1.13876,0.79458,0.16667,0.22727,0.20155,0.66052,4.44777,1.0579,8.23025e-05,8.23025e-05,8.23025e-05
5,101.595,0.78,2.40914,1.08408,0.23919,0.46667,0.31669,0.28481,0.57778,5.10369,0.9872,0.00010359,0.00010359,0.00010359
6,119.434,0.73093,1.90622,1.05765,0.4006,0.75,0.48857,0.42689,0.51487,4.63345,0.94396,0.000123888,0.000123888,0.000123888
7,137.326,0.58563,1.47937,0.90898,0.62475,0.5386,0.58751,0.51502,0.57275,3.9242,0.92621,0.000143195,0.000143195,0.000143195
8,155.222,0.60417,1.53488,0.96552,0.49839,0.80373,0.7547,0.67473,0.54509,3.17242,0.9154,0.000161513,0.000161513,0.000161513
9,172.654,0.45889,1.26606,0.85227,0.75092,0.49028,0.758,0.66004,0.49483,2.75757,0.90188,0.00017884,0.00017884,0.00017884
10,210.153,0.50514,1.26491,0.9551,0.45896,0.79373,0.76406,0.70965,0.41216,2.36612,0.86809,0.000195178,0.000195178,0.000195178
11,256.285,0.47302,1.18004,0.92109,0.77134,0.43333,0.71874,0.66309,0.36151,2.38126,0.84623,0.000210525,0.000210525,0.000210525
12,278.73,0.46967,0.98441,0.90025,0.70394,0.48195,0.71317,0.65358,0.36362,2.44692,0.83337,0.000224883,0.000224883,0.000224883
13,295.924,0.43129,0.88601,0.87897,0.68963,0.58333,0.67031,0.61435,0.35427,2.33096,0.83964,0.00023825,0.00023825,0.00023825
14,313.108,0.44602,1.08626,0.89593,0.47256,0.75,0.71728,0.66705,0.3395,2.11329,0.85125,0.000250627,0.000250627,0.000250627
15,330.245,0.44378,0.81216,0.84256,0.55863,0.79612,0.74504,0.69362,0.31204,2.2444,0.83762,0.000262015,0.000262015,0.000262015
16,347.56,0.41088,0.75669,0.84577,0.74714,0.71411,0.78136,0.75347,0.32083,2.38253,0.83132,0.000272412,0.000272412,0.000272412
17,365.47,0.42819,0.83648,0.8598,0.82385,0.76699,0.83084,0.79669,0.32508,2.14095,0.8276,0.00028182,0.00028182,0.00028182
18,383.944,0.43912,0.8864,0.88341,0.68546,0.89687,0.87177,0.8288,0.3304,1.45668,0.81694,0.000290237,0.000290237,0.000290237
19,401.848,0.39711,0.82994,0.85979,0.68482,0.91405,0.88386,0.84087,0.33517,1.50058,0.81595,0.000297665,0.000297665,0.000297665
20,419.133,0.45301,0.88248,0.89442,0.6195,0.91667,0.8663,0.81526,0.34613,1.95718,0.81944,0.000304103,0.000304103,0.000304103
21,436.259,0.42085,0.72848,0.86536,0.67033,0.75,0.82913,0.78175,0.38983,2.11687,0.83358,0.00030955,0.00030955,0.00030955
22,453.311,0.39054,0.666,0.87277,0.70664,0.75,0.78468,0.75114,0.38827,1.74051,0.82779,0.000314008,0.000314008,0.000314008
23,470.33,0.42318,0.69034,0.89364,0.83761,0.72762,0.81206,0.76366,0.39114,1.36001,0.81771,0.000317475,0.000317475,0.000317475
24,487.468,0.36179,0.63975,0.8542,0.73517,0.83333,0.81454,0.77158,0.3472,1.16241,0.81432,0.000319953,0.000319953,0.000319953
25,505.266,0.39987,0.72537,0.90069,0.83882,0.75,0.84917,0.81831,0.35921,1.14599,0.82158,0.00032144,0.00032144,0.00032144
26,523.681,0.47467,0.78971,0.95846,0.83708,0.72895,0.85993,0.81417,0.37147,1.31822,0.81467,0.000321938,0.000321938,0.000321938
27,540.642,0.41197,0.73825,0.93362,0.71647,0.81418,0.8331,0.76085,0.49231,1.69015,0.83931,0.000321445,0.000321445,0.000321445
28,558.119,0.44439,0.64123,0.88632,0.71647,0.81418,0.8331,0.76085,0.49231,1.69015,0.83931,0.000319962,0.000319962,0.000319962
29,576.04,0.45307,0.748,0.91524,0.82894,0.67377,0.83167,0.7585,0.52036,1.85516,0.85588,0.00031749,0.00031749,0.00031749
30,593.151,0.4269,0.61215,0.86582,0.84514,0.67334,0.84848,0.79207,0.44241,1.67452,0.83262,0.000314028,0.000314028,0.000314028
31,609.615,0.37077,0.53587,0.865,0.84514,0.67334,0.84848,0.79207,0.44241,1.67452,0.83262,0.000309575,0.000309575,0.000309575
32,629.812,0.37388,0.59711,0.90053,0.85558,0.67419,0.84651,0.80787,0.31115,1.39885,0.81688,0.000304132,0.000304132,0.000304132
33,647.822,0.3582,0.59741,0.86358,0.72425,0.82086,0.8729,0.84149,0.31728,1.2576,0.82228,0.0002977,0.0002977,0.0002977
34,664.556,0.36563,0.58787,0.85995,0.72425,0.82086,0.8729,0.84149,0.31728,1.2576,0.82228,0.000290277,0.000290277,0.000290277
35,681.52,0.36618,0.51352,0.88179,0.71885,0.8164,0.87913,0.83237,0.33576,1.19258,0.82621,0.000281865,0.000281865,0.000281865
36,708.427,0.38712,0.51426,0.83146,0.78539,0.86713,0.9069,0.84627,0.34117,1.22632,0.81895,0.000272463,0.000272463,0.000272463
37,737.505,0.36122,0.50459,0.89703,0.78539,0.86713,0.9069,0.84627,0.34117,1.22632,0.81895,0.00026207,0.00026207,0.00026207
38,762.286,0.3702,0.50075,0.85904,0.73569,0.90718,0.91246,0.86733,0.32507,1.23223,0.81079,0.000250687,0.000250687,0.000250687
39,778.935,0.32315,0.49414,0.82921,0.73707,0.90288,0.92357,0.86747,0.32105,1.18169,0.81085,0.000238315,0.000238315,0.000238315
40,796.046,0.40632,0.56495,0.87751,0.73707,0.90288,0.92357,0.86747,0.32105,1.18169,0.81085,0.000224952,0.000224952,0.000224952
41,814.525,0.33891,0.5873,0.82936,0.7258,0.90921,0.90452,0.83729,0.30841,1.12844,0.8165,0.0002106,0.0002106,0.0002106
42,831.466,0.33994,0.57927,0.86165,0.72804,0.9086,0.8819,0.80235,0.34706,1.10556,0.82213,0.000195258,0.000195258,0.000195258
43,848.286,0.30276,0.49837,0.82465,0.72804,0.9086,0.8819,0.80235,0.34706,1.10556,0.82213,0.000178925,0.000178925,0.000178925
44,865.736,0.32264,0.52956,0.83519,0.68083,0.91667,0.88086,0.78691,0.36867,1.19881,0.8243,0.000161603,0.000161603,0.000161603
45,882.274,0.31653,0.4996,0.82731,0.68083,0.91667,0.88086,0.78691,0.36867,1.19881,0.8243,0.00014329,0.00014329,0.00014329
46,899.144,0.30848,0.50472,0.81433,0.67851,0.91667,0.895,0.80333,0.37039,1.29923,0.82169,0.000123987,0.000123987,0.000123987
47,915.635,0.30053,0.4921,0.84716,0.67851,0.91667,0.895,0.80333,0.37039,1.29923,0.82169,0.000103695,0.000103695,0.000103695
48,932.574,0.33237,0.50312,0.85527,0.87018,0.74414,0.90864,0.81983,0.36613,1.32372,0.81842,8.24125e-05,8.24125e-05,8.24125e-05
49,949.222,0.32036,0.5016,0.78326,0.87018,0.74414,0.90864,0.81983,0.36613,1.32372,0.81842,6.014e-05,6.014e-05,6.014e-05
50,965.849,0.26384,0.44679,0.79374,0.86287,0.75592,0.92595,0.84722,0.36306,1.28881,0.8146,3.68775e-05,3.68775e-05,3.68775e-05
